" Adilabad, Telangana  "
" Agar-Malwa, Madhya Pradesh  "
" Agra, Uttar Pradesh  "
" Ahmedabad, Gujarat  "
" Ahmednagar, Maharashtra  "
" Aizawl, Mizoram  "
" Ajmer, Rajasthan  "
" Akola, Maharashtra  "
" Alappuzha, Kerala  "
" Aligarh, Uttar Pradesh  "
" Alipurduar, West Bengal  "
" Alirajpur, Madhya Pradesh  "
" Alluri Sitharama Raju, Andhra Pradesh  "
" Almora, Uttarakhand  "
" Alwar, Rajasthan  "
" Ambala, Haryana  "
" Ambedkar Nagar, Uttar Pradesh  "
" Amethi, Uttar Pradesh  "
" Amravati, Maharashtra  "
" Amreli, Gujarat  "
" Amritsar, Punjab  "
" Amroha, Uttar Pradesh  "
" Anakapalli, Andhra Pradesh  "
" Anand, Gujarat  "
" Ananthapuramu, Andhra Pradesh  "
" Anantnag, Jammu and Kashmir  "
" Anjaw, Arunachal Pradesh  "
" Annamayya, Andhra Pradesh  "
" Anugul, Odisha  "
" Anupgarh, Rajasthan  "
" Anuppur, Madhya Pradesh  "
" Araria, Bihar  "
" Ariyalur, Tamil Nadu  "
" Arvalli, Gujarat  "
" Arwal, Bihar  "
" Ashoknagar, Madhya Pradesh  "
" Auraiya, Uttar Pradesh  "
" Aurangabad, Bihar  "
" Aurangabad, Maharashtra  "
" Ayodhya, Uttar Pradesh  "
" Azamgarh, Uttar Pradesh  "
" Bagalkote, Karnataka  "
" Bageshwar, Uttarakhand  "
" Baghpat, Uttar Pradesh  "
" Bahraich, Uttar Pradesh  "
" Bajali, Assam  "
" Baksa, Assam  "
" Balaghat, Madhya Pradesh  "
" Balangir, Odisha  "
" Baleshwar, Odisha  "
" Ballari, Karnataka  "
" Ballia, Uttar Pradesh  "
" Balod, Chhattisgarh  "
" Balodabazar-Bhatapara, Chhattisgarh  "
" Balotra, Rajasthan  "
" Balrampur, Chhattisgarh  "
" Balrampur-Ramanujganj, Chhattisgarh  "
" Banas Kantha, Gujarat  "
" Banda, Uttar Pradesh  "
" Bandipora, Jammu and Kashmir  "
" Banka, Bihar  "
" Bankura, West Bengal  "
" Banswara, Rajasthan  "
" Bapatla, Andhra Pradesh  "
" Bara Banki, Uttar Pradesh  "
" Baramulla, Jammu and Kashmir  "
" Baran, Rajasthan  "
" Bareilly, Uttar Pradesh  "
" Bargarh, Odisha  "
" Barmer, Rajasthan  "
" Barnala, Punjab  "
" Barpeta, Assam  "
" Barwani, Madhya Pradesh  "
" Bastar, Chhattisgarh  "
" Basti, Uttar Pradesh  "
" Bathinda, Punjab  "
" Beawar, Rajasthan  "
" Beed, Maharashtra  "
" Begusarai, Bihar  "
" Belagavi, Karnataka  "
" Bemetara, Chhattisgarh  "
" Bengaluru Rural, Karnataka  "
" Bengaluru Urban, Karnataka  "
" Betul, Madhya Pradesh  "
" Bhadohi, Uttar Pradesh  "
" Bhadradri Kothagudem, Telangana  "
" Bhadrak, Odisha  "
" Bhagalpur, Bihar  "
" Bhandara, Maharashtra  "
" Bharatpur, Rajasthan  "
" Bharuch, Gujarat  "
" Bhavnagar, Gujarat  "
" Bhilwara, Rajasthan  "
" Bhind, Madhya Pradesh  "
" Bhiwani, Haryana  "
" Bhojpur, Bihar  "
" Bhopal, Madhya Pradesh  "
" Bidar, Karnataka  "
" Bijapur, Chhattisgarh  "
" Bijnor, Uttar Pradesh  "
" Bikaner, Rajasthan  "
" Bilaspur, Chhattisgarh  "
" Bilaspur, Himachal Pradesh  "
" Birbhum, West Bengal  "
" Bishnupur, Manipur  "
" Biswanath, Assam  "
" Bokaro, Jharkhand  "
" Bongaigaon, Assam  "
" Botad, Gujarat  "
" Boudh, Odisha  "
" Budaun, Uttar Pradesh  "
" Budgam, Jammu and Kashmir  "
" Bulandshahr, Uttar Pradesh  "
" Buldhana, Maharashtra  "
" Bundi, Rajasthan  "
" Burhanpur, Madhya Pradesh  "
" Buxar, Bihar  "
" Cachar, Assam  "
" Central, Delhi  "
" Chamarajanagara, Karnataka  "
" Chamba, Himachal Pradesh  "
" Chamoli, Uttarakhand  "
" Champawat, Uttarakhand  "
" Champhai, Mizoram  "
" Chandauli, Uttar Pradesh  "
" Chandel, Manipur  "
" Chandigarh, Chandigarh  "
" Chandrapur, Maharashtra  "
" Changlang, Arunachal Pradesh  "
" Charaideo, Assam  "
" Charki Dadri, Haryana  "
" Chatra, Jharkhand  "
" Chengalpattu, Tamil Nadu  "
" Chennai, Tamil Nadu  "
" Chhatarpur, Madhya Pradesh  "
" Chhatrapati Sambhajinagar, Maharashtra  "
" Chhindwara, Madhya Pradesh  "
" Chhotaudepur, Gujarat  "
" Chikkaballapura, Karnataka  "
" Chikkamagaluru, Karnataka  "
" Chirang, Assam  "
" Chitradurga, Karnataka  "
" Chitrakoot, Uttar Pradesh  "
" Chittoor, Andhra Pradesh  "
" Chittorgarh, Rajasthan  "
" Chumoukedima, Nagaland  "
" Churachandpur, Manipur  "
" Churu, Rajasthan  "
" Coimbatore, Tamil Nadu  "
" Cooch Behar, West Bengal  "
" Cuddalore, Tamil Nadu  "
" Cuttack, Odisha  "
